id,state,Adana,Adiyaman,Afyonkarahisar,Agri,Amasya,Ankara,Antalya,Artvin,Aydin,Balikesir,Bilecik,Bingol,Bitlis,Bolu,Burdur,Bursa,Canakkale,Cankiri,Corum,Denizli,Diyarbakir,Edirne,Elazig,Erzincan,Erzurum,Eskisehir,Gaziantep,Giresun,Gumushane,Hakkari,Hatay,Isparta,Mersin,Istanbul,Izmir,Kars,Kastamonu,Kayseri,Kirklareli,Kirsehir,Kocaeli,Konya,Kutahya,Malatya,Manisa,Kahramanmaras,Mardin,Mugla,Mus,Nevsehir,Nigde,Ordu,Rize,Sakarya,Samsun,Siirt,Sinop,Sivas,Tekirdag,Tokat,Trabzon,Tunceli,Sanliurfa,Usak,Van,Yozgat,Zonguldak,Aksaray,Bayburt,Karaman,Kirikkale,Batman,Sirnak,Bartin,Ardahan,Igdir,Yalova,Karabuk,Kilis,Osmaniye,Duzce,total_imm,total_emm,diff,color
42,Konya,1392,173,1198,204,146,5786,5535,49,708,438,157,108,178,166,309,1201,172,118,214,576,333,120,255,186,470,1185,392,134,69,95,502,858,1528,6331,4649,166,204,726,125,290,908,0,359,359,502,315,249,524,155,310,831,170,91,303,408,125,95,310,384,257,286,37,459,207,305,287,189,1647,62,2088,258,194,137,60,29,42,106,126,23,226,137,46042,51006,-4964,#E80000
43,Kutahya,121,16,467,48,38,962,682,27,252,576,324,20,40,40,84,1640,151,32,99,219,98,43,33,38,104,1091,90,26,17,14,81,138,153,2314,3092,23,56,104,50,32,428,327,0,80,1162,63,28,210,32,31,15,83,33,174,129,24,31,84,126,75,93,9,61,784,52,45,84,36,17,34,40,25,73,28,18,12,69,49,20,25,66,15291,18210,-2919,#FF3F3F
44,Malatya,900,1138,98,81,89,2282,758,36,277,365,61,192,130,68,31,541,101,36,72,150,356,62,1554,214,260,457,673,80,39,38,413,120,1501,7490,1032,86,69,443,70,71,349,457,63,0,204,724,94,249,137,78,70,38,47,191,176,59,29,606,219,189,143,48,296,68,177,74,55,61,37,39,73,115,55,23,21,35,74,47,43,256,55,25806,28208,-2402,#FF5858
45,Manisa,275,95,595,191,98,1280,1158,21,973,1923,95,55,200,86,120,1003,340,45,97,922,359,143,159,116,390,519,162,88,28,34,143,360,290,2877,10414,120,56,173,72,56,475,562,963,190,0,119,338,744,212,58,75,188,69,197,168,67,53,114,230,155,296,43,212,1003,198,80,178,81,31,75,93,199,177,88,38,83,70,47,20,61,81,28781,34262,-5481,#D80000
46,Kahramanmaras,1755,431,114,57,55,1611,1410,29,205,195,70,60,85,85,85,397,102,58,68,119,196,68,223,109,178,166,3730,82,35,32,1162,170,1174,3436,567,69,69,1598,37,137,299,509,90,680,130,0,103,308,54,80,139,79,37,111,129,41,33,236,164,114,95,41,304,43,127,100,59,95,29,84,100,45,82,23,13,25,51,31,111,1854,57,18521,26934,-8413,#A40000
47,Mardin,5017,156,156,79,44,1460,884,18,260,335,38,18,67,46,65,758,77,76,57,147,3122,123,169,70,112,228,615,46,29,18,725,139,1853,11200,4238,85,56,121,162,99,318,512,95,172,400,135,0,273,50,47,89,42,40,124,142,221,37,118,155,104,69,9,1050,54,246,42,42,88,9,48,60,1449,737,10,7,28,85,35,32,121,45,18296,40308,-22012,#400000
48,Mugla,450,71,333,189,55,1778,1797,52,1936,386,62,53,71,115,326,585,189,66,163,1090,279,89,142,101,152,508,231,108,80,24,445,370,507,3420,3388,70,49,199,45,79,578,545,238,173,495,235,191,0,63,80,59,277,48,164,271,79,62,205,121,182,227,38,359,161,412,129,153,73,23,59,99,81,127,44,6,35,122,38,36,188,84,28390,26613,1777,#099EFF
49,Mus,373,49,87,249,33,523,236,9,438,235,61,156,583,30,41,2994,91,29,35,181,281,73,166,25,221,122,162,39,15,7,120,64,573,6080,1534,24,32,114,19,28,566,199,50,242,492,55,13,105,0,27,27,44,25,186,88,24,18,45,390,36,29,9,81,21,377,24,41,38,7,12,28,337,30,19,6,24,221,17,14,58,25,10158,20182,-10024,#800000
50,Nevsehir,184,37,38,19,33,1227,322,16,90,87,14,11,31,34,11,134,9,11,47,54,45,22,47,27,90,110,65,45,7,5,72,50,207,2274,315,16,22,1834,8,556,164,331,51,70,52,69,24,79,20,0,281,36,35,53,56,6,18,121,70,51,65,6,45,14,21,184,17,256,10,45,66,6,20,1,1,13,11,12,13,30,18,8965,10667,-1702,#FF7878
51,Nigde,1903,21,71,16,26,1655,522,2,125,85,19,10,60,51,28,371,35,16,37,83,34,28,34,28,86,141,135,18,14,18,147,54,1007,3371,997,18,28,999,26,95,251,715,38,60,86,75,27,128,12,286,0,35,22,121,71,24,13,87,83,66,88,17,95,48,35,65,37,403,11,82,57,8,37,16,9,7,20,18,12,74,25,12588,15778,-3190,#FF3838
